id,label
airfrance,Air-France
amazon,Amazon
asana,Asana
bitbucket,Bitbucket
booking,Booking
cloudpipes,Cloudpipes
cloudbees,Cloudbees
codcov,Codcov
dailymotion,Dailymotion
disqus,Disqus
dropbox,Dropbox
facebook,Facebook
gemnasium,Gemnasium
gitbook,Gitbook
github,Github
gitlab,Gitlab
gitter,Gitter
giphy,Giphy
google,Google
heroku,Heroku
imdb,IMDb
instagram,Instagram
jira,Jira
jitpack,Jitpack
kinja,Kinja
lifehacker,Lifehacker
linkedin,Linkedin
metacritic,metacritic
microsoft,Microsoft
netflix,Netflix
opodo,Opodo
paypal,Paypal
pinterest,Pinterest
prezi,Prezi
rottentomatoes,rottentomatoes
salesforce,Salesforce
siliconangle,siliconAngle
slack,Slack
slides.io,Slides.io
stackoverflow,Stackoverflow
travis,Travis
trello,Trello
tripadvisor,Tripadvisor
twitter,Twitter
vimeo,Vimeo
zendesk,Zendesk
zenhub,Zenhub
